Date,Temp
1/1/81,20.22
1/2/81,17.74
1/3/81,19.73
1/4/81,14.49
1/5/81,16.82
1/6/81,15.71
1/7/81,14.87
1/8/81,19.22
1/9/81,21.45
1/10/81,20.81
1/11/81,16.51
1/12/81,12.20
1/13/81,16.70
1/14/81,21.28
1/15/81,24.72
1/16/81,20.70
1/17/81,21.54
1/18/81,24.80
1/19/81,18.39
1/20/81,14.85
1/21/81,17.52
1/22/81,10.51
1/23/81,13.99
1/24/81,16.00
1/25/81,18.49
1/26/81,17.73
1/27/81,18.56
1/28/81,15.96
1/29/81,14.86
1/30/81,14.26
1/31/81,16.27
2/1/81,15.86
2/2/81,18.80
2/3/81,21.02
2/4/81,20.46
2/5/81,15.15
2/6/81,17.20
2/7/81,14.60
2/8/81,16.93
2/9/81,24.96
2/10/81,14.87
2/11/81,13.43
2/12/81,13.90
2/13/81,18.88
2/14/81,22.00
2/15/81,23.64
2/16/81,20.67
2/17/81,18.80
2/18/81,16.12
2/19/81,17.25
2/20/81,15.70
2/21/81,16.60
2/22/81,17.26
2/23/81,14.40
2/24/81,14.40
2/25/81,20.06
2/26/81,17.63
2/27/81,17.89
2/28/81,20.41
3/1/81,18.78
3/2/81,18.60
3/3/81,16.13
3/4/81,16.05
3/5/81,12.39
3/6/81,13.52
3/7/81,11.50
3/8/81,15.97
3/9/81,16.29
3/10/81,10.78
3/11/81,12.52
3/12/81,13.84
3/13/81,10.57
3/14/81,11.59
3/15/81,10.60
3/16/81,11.74
3/17/81,14.51
3/18/81,10.52
3/19/81,18.72
3/20/81,16.46
3/21/81,9.03
3/22/81,8.37
3/23/81,9.45
3/24/81,13.40
3/25/81,10.94
3/26/81,13.40
3/27/81,11.07
3/28/81,14.95
3/29/81,15.73
3/30/81,15.20
3/31/81,17.76
4/1/81,16.86
4/2/81,16.49
4/3/81,18.27
4/4/81,17.20
4/5/81,18.67
4/6/81,18.28
4/7/81,10.16
4/8/81,14.87
4/9/81,15.75
4/10/81,13.18
4/11/81,7.89
4/12/81,10.33
4/13/81,14.38
4/14/81,12.06
4/15/81,14.09
4/16/81,12.37
4/17/81,11.11
4/18/81,14.56
4/19/81,13.80
4/20/81,9.14
4/21/81,8.55
4/22/81,9.64
4/23/81,9.80
4/24/81,10.89
4/25/81,9.74
4/26/81,6.70
4/27/81,10.37
4/28/81,7.39
4/29/81,9.12
4/30/81,8.34
